,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ederson/profil/spieler/238223,Ederson,Goalkeeper,€56.00m ,"Aug 17, 1993 (27)",Brazil
1,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/zack-steffen/profil/spieler/221624,Zack Steffen,Goalkeeper,€6.00m ,"Apr 2, 1995 (25)",United States
2,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/scott-carson/profil/spieler/14555,Scott Carson,Goalkeeper,€500Th. ,"Sep 3, 1985 (35)",England
3,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ruben-dias/profil/spieler/258004,Rúben Dias,Centre-Back,€70.00m ,"May 14, 1997 (23)",Portugal
4,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/aymeric-laporte/profil/spieler/176553,Aymeric Laporte,Centre-Back,€50.00m ,"May 27, 1994 (26)",France
5,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/nathan-ake/profil/spieler/177476,Nathan Aké,Centre-Back,€35.00m ,"Feb 18, 1995 (26)",Netherlands
6,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/john-stones/profil/spieler/186590,John Stones,Centre-Back,€30.00m ,"May 28, 1994 (26)",England
7,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/eric-garcia/profil/spieler/466794,Eric García,Centre-Back,€20.00m ,"Jan 9, 2001 (20)",Spain
8,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/philippe-sandler/profil/spieler/340460,Philippe Sandler,Centre-Back,€3.00m ,"Feb 10, 1997 (24)",Netherlands
9,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/benjamin-mendy/profil/spieler/157495,Benjamin Mendy,Left-Back,€22.00m ,"Jul 17, 1994 (26)",France
10,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,Left-Back,€20.00m ,"Dec 15, 1996 (24)",Ukraine
11,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/joao-cancelo/profil/spieler/182712,João Cancelo,Right-Back,€50.00m ,"May 27, 1994 (26)",Portugal
12,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/kyle-walker/profil/spieler/95424,Kyle Walker,Right-Back,€35.00m ,"May 28, 1990 (30)",England
13,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/rodri/profil/spieler/357565,Rodri,Defensive Midfield,€70.00m ,"Jun 22, 1996 (24)",Spain
14,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/fernandinho/profil/spieler/26267,Fernandinho,Defensive Midfield,€2.50m ,"May 4, 1985 (35)",Brazil
15,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/phil-foden/profil/spieler/406635,Phil Foden,Central Midfield,€70.00m ,"May 28, 2000 (20)",England
16,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ilkay-gundogan/profil/spieler/53622,Ilkay Gündogan,Central Midfield,€40.00m ,"Oct 24, 1990 (30)",Germany
17,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,Attacking Midfield,€100.00m ,"Jun 28, 1991 (29)",Belgium
18,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/bernardo-silva/profil/spieler/241641,Bernardo Silva,Attacking Midfield,€70.00m ,"Aug 10, 1994 (26)",Portugal
19,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/raheem-sterling/profil/spieler/134425,Raheem Sterling,Left Winger,€100.00m ,"Dec 8, 1994 (26)",England
20,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/ferran-torres/profil/spieler/398184,Ferran Torres,Right Winger,€50.00m ,"Feb 29, 2000 (21)",Spain
21,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/riyad-mahrez/profil/spieler/171424,Riyad Mahrez,Right Winger,€42.00m ,"Feb 21, 1991 (30)",Algeria
22,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/gabriel-jesus/profil/spieler/363205,Gabriel Jesus,Centre-Forward,€60.00m ,"Apr 3, 1997 (23)",Brazil
23,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,/sergio-aguero/profil/spieler/26399,Sergio Agüero,Centre-Forward,€25.00m ,"Jun 2, 1988 (32)",Argentina
24,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/alisson/profil/spieler/105470,Alisson,Goalkeeper,€65.00m ,"Oct 2, 1992 (28)",Brazil
25,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/caoimhin-kelleher/profil/spieler/340918,Caoimhin Kelleher,Goalkeeper,€2.50m ,"Nov 23, 1998 (22)",Ireland
26,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/adrian/profil/spieler/71271,Adrián,Goalkeeper,€1.50m ,"Jan 3, 1987 (34)",Spain
27,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/virgil-van-dijk/profil/spieler/139208,Virgil van Dijk,Centre-Back,€70.00m ,"Jul 8, 1991 (29)",Netherlands
28,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/joe-gomez/profil/spieler/256178,Joe Gomez,Centre-Back,€35.00m ,"May 23, 1997 (23)",England
29,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/ozan-kabak/profil/spieler/361260,Ozan Kabak,Centre-Back,€25.00m ,"Mar 25, 2000 (20)",Turkey
30,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/joel-matip/profil/spieler/82105,Joel Matip,Centre-Back,€25.00m ,"Aug 8, 1991 (29)",Cameroon
31,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/rhys-williams/profil/spieler/503679,Rhys Williams,Centre-Back,€5.00m ,"Feb 3, 2001 (20)",England
32,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/nathaniel-phillips/profil/spieler/371814,Nathaniel Phillips,Centre-Back,€5.00m ,"Mar 21, 1997 (23)",England
33,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/ben-davies/profil/spieler/257097,Ben Davies,Centre-Back,€3.00m ,"Aug 11, 1995 (25)",England
34,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/andrew-robertson/profil/spieler/234803,Andrew Robertson,Left-Back,€70.00m ,"Mar 11, 1994 (27)",Scotland
35,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/konstantinos-tsimikas/profil/spieler/338070,Konstantinos Tsimikas,Left-Back,€8.00m ,"May 12, 1996 (24)",Greece
36,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/trent-alexander-arnold/profil/spieler/314353,Trent Alexander-Arnold,Right-Back,€100.00m ,"Oct 7, 1998 (22)",England
37,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/neco-williams/profil/spieler/503680,Neco Williams,Right-Back,€10.00m ,"Apr 13, 2001 (19)",Wales
38,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/fabinho/profil/spieler/225693,Fabinho,Defensive Midfield,€60.00m ,"Oct 23, 1993 (27)",Brazil
39,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/naby-keita/profil/spieler/302215,Naby Keïta,Central Midfield,€38.00m ,"Feb 10, 1995 (26)",Guinea
40,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/georginio-wijnaldum/profil/spieler/49499,Georginio Wijnaldum,Central Midfield,€35.00m ,"Nov 11, 1990 (30)",Netherlands
41,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/thiago/profil/spieler/60444,Thiago,Central Midfield,€35.00m ,"Apr 11, 1991 (29)",Spain
42,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/curtis-jones/profil/spieler/433188,Curtis Jones,Central Midfield,€30.00m ,"Jan 30, 2001 (20)",England
43,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/jordan-henderson/profil/spieler/61651,Jordan Henderson,Central Midfield,€22.00m ,"Jun 17, 1990 (30)",England
44,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/alex-oxlade-chamberlain/profil/spieler/143424,Alex Oxlade-Chamberlain,Central Midfield,€20.00m ,"Aug 15, 1993 (27)",England
45,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/james-milner/profil/spieler/3333,James Milner,Central Midfield,€3.00m ,"Jan 4, 1986 (35)",England
46,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/ben-woodburn/profil/spieler/344015,Ben Woodburn,Attacking Midfield,€3.00m ,"Oct 15, 1999 (21)",Wales
47,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/sadio-mane/profil/spieler/200512,Sadio Mané,Left Winger,€100.00m ,"Apr 10, 1992 (28)",Senegal
48,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/diogo-jota/profil/spieler/340950,Diogo Jota,Left Winger,€40.00m ,"Dec 4, 1996 (24)",Portugal
49,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/mohamed-salah/profil/spieler/148455,Mohamed Salah,Right Winger,€110.00m ,"Jun 15, 1992 (28)",Egypt
50,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/xherdan-shaqiri/profil/spieler/86792,Xherdan Shaqiri,Right Winger,€14.00m ,"Oct 10, 1991 (29)",Switzerland
51,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/roberto-firmino/profil/spieler/131789,Roberto Firmino,Centre-Forward,€55.00m ,"Oct 2, 1991 (29)",Brazil
52,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/divock-origi/profil/spieler/148368,Divock Origi,Centre-Forward,€16.00m ,"Apr 18, 1995 (25)",Belgium
53,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/edouard-mendy/profil/spieler/442531,Edouard Mendy,Goalkeeper,€25.00m ,"Mar 1, 1992 (29)",Senegal
54,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/kepa/profil/spieler/192279,Kepa,Goalkeeper,€13.00m ,"Oct 3, 1994 (26)",Spain
55,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,€300Th. ,"Sep 28, 1981 (39)",Argentina
56,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/kurt-zouma/profil/spieler/157509,Kurt Zouma,Centre-Back,€32.00m ,"Oct 27, 1994 (26)",France
57,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/andreas-christensen/profil/spieler/196948,Andreas Christensen,Centre-Back,€28.00m ,"Apr 10, 1996 (24)",Denmark
58,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/antonio-rudiger/profil/spieler/86202,Antonio Rüdiger,Centre-Back,€25.00m ,"Mar 3, 1993 (28)",Germany
59,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/thiago-silva/profil/spieler/29241,Thiago Silva,Centre-Back,€3.50m ,"Sep 22, 1984 (36)",Brazil
60,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/ben-chilwell/profil/spieler/316125,Ben Chilwell,Left-Back,€50.00m ,"Dec 21, 1996 (24)",England
61,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/emerson/profil/spieler/181778,Emerson,Left-Back,€15.00m ,"Aug 3, 1994 (26)",Italy
62,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/marcos-alonso/profil/spieler/112515,Marcos Alonso,Left-Back,€13.00m ,"Dec 28, 1990 (30)",Spain
63,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/reece-james/profil/spieler/472423,Reece James,Right-Back,€40.00m ,"Dec 8, 1999 (21)",England
64,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/cesar-azpilicueta/profil/spieler/57500,César Azpilicueta,Right-Back,€17.00m ,"Aug 28, 1989 (31)",Spain
65,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/jorginho/profil/spieler/102017,Jorginho,Defensive Midfield,€45.00m ,"Dec 20, 1991 (29)",Italy
66,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/ngolo-kante/profil/spieler/225083,N'Golo Kanté,Central Midfield,€55.00m ,"Mar 29, 1991 (29)",France
67,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/mateo-kovacic/profil/spieler/51471,Mateo Kovacic,Central Midfield,€45.00m ,"May 6, 1994 (26)",Croatia
68,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/billy-gilmour/profil/spieler/423744,Billy Gilmour,Central Midfield,€7.00m ,"Jun 11, 2001 (19)",Scotland
69,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/kai-havertz/profil/spieler/309400,Kai Havertz,Attacking Midfield,€70.00m ,"Jun 11, 1999 (21)",Germany
70,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/mason-mount/profil/spieler/346483,Mason Mount,Attacking Midfield,€60.00m ,"Jan 10, 1999 (22)",England
71,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/charly-musonda-jr-/profil/spieler/177862,Charly Musonda Jr.,Attacking Midfield,€1.00m ,"Oct 15, 1996 (24)",Belgium
72,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/callum-hudson-odoi/profil/spieler/392768,Callum Hudson-Odoi,Left Winger,€35.00m ,"Nov 7, 2000 (20)",England
73,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/christian-pulisic/profil/spieler/315779,Christian Pulisic,Right Winger,€50.00m ,"Sep 18, 1998 (22)",United States
74,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/hakim-ziyech/profil/spieler/217111,Hakim Ziyech,Right Winger,€40.00m ,"Mar 19, 1993 (28)",Morocco
75,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/timo-werner/profil/spieler/170527,Timo Werner,Centre-Forward,€65.00m ,"Mar 6, 1996 (25)",Germany
76,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/tammy-abraham/profil/spieler/331726,Tammy Abraham,Centre-Forward,€40.00m ,"Oct 2, 1997 (23)",England
77,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/olivier-giroud/profil/spieler/82442,Olivier Giroud,Centre-Forward,€5.00m ,"Sep 30, 1986 (34)",France
78,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/david-de-gea/profil/spieler/59377,David de Gea,Goalkeeper,€22.00m ,"Nov 7, 1990 (30)",Spain
79,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/dean-henderson/profil/spieler/258919,Dean Henderson,Goalkeeper,€20.00m ,"Mar 12, 1997 (24)",England
80,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/sergio-romero/profil/spieler/30690,Sergio Romero,Goalkeeper,€1.50m ,"Feb 22, 1987 (34)",Argentina
81,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/nathan-bishop/profil/spieler/495033,Nathan Bishop,Goalkeeper,€300Th. ,"Oct 15, 1999 (21)",England
82,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/lee-grant/profil/spieler/13460,Lee Grant,Goalkeeper,€250Th. ,"Jan 27, 1983 (38)",England
83,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/harry-maguire/profil/spieler/177907,Harry Maguire,Centre-Back,€40.00m ,"Mar 5, 1993 (28)",England
84,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/victor-lindelof/profil/spieler/184573,Victor Lindelöf,Centre-Back,€24.00m ,"Jul 17, 1994 (26)",Sweden
85,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/eric-bailly/profil/spieler/286384,Eric Bailly,Centre-Back,€15.00m ,"Apr 12, 1994 (26)",Cote d'Ivoire
86,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/axel-tuanzebe/profil/spieler/342046,Axel Tuanzebe,Centre-Back,€8.00m ,"Nov 14, 1997 (23)",England
87,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/phil-jones/profil/spieler/117996,Phil Jones,Centre-Back,€5.00m ,"Feb 21, 1992 (29)",England
88,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/alex-telles/profil/spieler/255755,Alex Telles,Left-Back,€28.00m ,"Dec 15, 1992 (28)",Brazil
89,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/luke-shaw/profil/spieler/183288,Luke Shaw,Left-Back,€25.00m ,"Jul 12, 1995 (25)",England
90,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/brandon-williams/profil/spieler/507700,Brandon Williams,Left-Back,€10.00m ,"Sep 3, 2000 (20)",England
91,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/aaron-wan-bissaka/profil/spieler/477758,Aaron Wan-Bissaka,Right-Back,€40.00m ,"Nov 26, 1997 (23)",England
92,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/nemanja-matic/profil/spieler/74683,Nemanja Matic,Defensive Midfield,€10.00m ,"Aug 1, 1988 (32)",Serbia
93,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/paul-pogba/profil/spieler/122153,Paul Pogba,Central Midfield,€60.00m ,"Mar 15, 1993 (28)",France
94,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/donny-van-de-beek/profil/spieler/288255,Donny van de Beek,Central Midfield,€35.00m ,"Apr 18, 1997 (23)",Netherlands
95,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/scott-mctominay/profil/spieler/315969,Scott McTominay,Central Midfield,€30.00m ,"Dec 8, 1996 (24)",Scotland
96,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/fred/profil/spieler/191614,Fred,Central Midfield,€22.00m ,"Mar 5, 1993 (28)",Brazil
97,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/ethan-galbraith/profil/spieler/433991,Ethan Galbraith,Central Midfield,€900Th. ,"May 11, 2001 (19)",Northern Ireland
98,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/hannibal-mejbri/profil/spieler/607224,Hannibal Mejbri,Central Midfield, ,"Jan 21, 2003 (18)",France
99,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/bruno-fernandes/profil/spieler/240306,Bruno Fernandes,Attacking Midfield,€90.00m ,"Sep 8, 1994 (26)",Portugal
100,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/juan-mata/profil/spieler/44068,Juan Mata,Attacking Midfield,€6.00m ,"Apr 28, 1988 (32)",Spain
101,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/marcus-rashford/profil/spieler/258923,Marcus Rashford,Left Winger,€85.00m ,"Oct 31, 1997 (23)",England
102,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/daniel-james/profil/spieler/319301,Daniel James,Left Winger,€18.00m ,"Nov 10, 1997 (23)",Wales
103,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/shola-shoretire/profil/spieler/640026,Shola Shoretire,Left Winger,€3.00m ,"Feb 2, 2004 (17)",England
104,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/mason-greenwood/profil/spieler/532826,Mason Greenwood,Right Winger,€50.00m ,"Oct 1, 2001 (19)",England
105,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/amad-diallo/profil/spieler/536835,Amad Diallo,Right Winger,€15.00m ,"Jul 11, 2002 (18)",Cote d'Ivoire
106,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/anthony-martial/profil/spieler/182877,Anthony Martial,Centre-Forward,€50.00m ,"Dec 5, 1995 (25)",France
107,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,/edinson-cavani/profil/spieler/48280,Edinson Cavani,Centre-Forward,€7.00m ,"Feb 14, 1987 (34)",Uruguay
108,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/hugo-lloris/profil/spieler/17965,Hugo Lloris,Goalkeeper,€9.00m ,"Dec 26, 1986 (34)",France
109,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/joe-hart/profil/spieler/40204,Joe Hart,Goalkeeper,€2.00m ,"Apr 19, 1987 (33)",England
110,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/alfie-whiteman/profil/spieler/282823,Alfie Whiteman,Goalkeeper,€800Th. ,"Oct 2, 1998 (22)",England
111,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/davinson-sanchez/profil/spieler/341429,Davinson Sánchez,Centre-Back,€35.00m ,"Jun 12, 1996 (24)",Colombia
112,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/eric-dier/profil/spieler/175722,Eric Dier,Centre-Back,€25.00m ,"Jan 15, 1994 (27)",England
113,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/toby-alderweireld/profil/spieler/42710,Toby Alderweireld,Centre-Back,€15.00m ,"Mar 2, 1989 (32)",Belgium
114,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/joe-rodon/profil/spieler/297212,Joe Rodon,Centre-Back,€10.00m ,"Oct 22, 1997 (23)",Wales
115,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/japhet-tanganga/profil/spieler/346478,Japhet Tanganga,Centre-Back,€8.00m ,"Mar 31, 1999 (21)",England
116,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/sergio-reguilon/profil/spieler/282429,Sergio Reguilón,Left-Back,€25.00m ,"Dec 16, 1996 (24)",Spain
117,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/ben-davies/profil/spieler/192765,Ben Davies,Left-Back,€16.00m ,"Apr 24, 1993 (27)",Wales
118,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/danny-rose/profil/spieler/50174,Danny Rose,Left-Back,€4.00m ,"Jul 2, 1990 (30)",England
119,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/serge-aurier/profil/spieler/127032,Serge Aurier,Right-Back,€20.00m ,"Dec 24, 1992 (28)",Cote d'Ivoire
120,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/matt-doherty/profil/spieler/171679,Matt Doherty,Right-Back,€18.00m ,"Jan 16, 1992 (29)",Ireland
121,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/harry-winks/profil/spieler/249126,Harry Winks,Defensive Midfield,€22.00m ,"Feb 2, 1996 (25)",England
122,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/tanguy-ndombele/profil/spieler/450936,Tanguy Ndombélé,Central Midfield,€50.00m ,"Dec 28, 1996 (24)",France
123,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/pierre-emile-hojbjerg/profil/spieler/167799,Pierre-Emile Höjbjerg,Central Midfield,€35.00m ,"Aug 5, 1995 (25)",Denmark
124,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/giovani-lo-celso/profil/spieler/348795,Giovani Lo Celso,Central Midfield,€30.00m ,"Apr 9, 1996 (24)",Argentina
125,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/moussa-sissoko/profil/spieler/46001,Moussa Sissoko,Central Midfield,€13.00m ,"Aug 16, 1989 (31)",France
126,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/dele-alli/profil/spieler/207929,Dele Alli,Attacking Midfield,€32.00m ,"Apr 11, 1996 (24)",England
127,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/heung-min-son/profil/spieler/91845,Heung-min Son,Left Winger,€85.00m ,"Jul 8, 1992 (28)","Korea, South"
128,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,/steven-bergwijn/profil/spieler/284165,Steven Bergwijn,Left Winger,€25.00m ,"Oct 8, 1997 (23)",Netherlands
